PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Hasan, M. Z.; Kane, C. L.								Colloquium: Topological insulators								REVIEWS OF MODERN PHYSICS				82	4			3045	3067		10.1103/RevModPhys.82.3045			NOV 8 2010	2010										8565							WOS:000283929800001		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										6050							WOS:000308825700001		
J	Zhang, Haijun; Liu, Chao-Xing; Qi, Xiao-Liang; Dai, Xi; Fang, Zhong; Zhang, Shou-Cheng								Topological insulators in Bi2Se3, Bi2Te3 and Sb2Te3 with a single Dirac cone on the surface								NATURE PHYSICS				5	6			438	442		10.1038/NPHYS1270			JUN 2009	2009										3327							WOS:000266544800024		
J	Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.								Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene								ACS NANO				7	4			2898	2926		10.1021/nn400280c			APR 2013	2013										2282							WOS:000318143300005		
J	Chen, Y. L.; Analytis, J. G.; Chu, J. -H.; Liu, Z. K.; Mo, S. -K.; Qi, X. L.; Zhang, H. J.; Lu, D. H.; Dai, X.; Fang, Z.; Zhang, S. C.; Fisher, I. R.; Hussain, Z.; Shen, Z. -X.								Experimental Realization of a Three-Dimensional Topological Insulator, Bi2Te3								SCIENCE				325	5937			178	181		10.1126/science.1173034			JUL 10 2009	2009										2089							WOS:000267802000040		
J	Das Sarma, S.; Adam, Shaffique; Hwang, E. H.; Rossi, Enrico								Electronic transport in two-dimensional graphene								REVIEWS OF MODERN PHYSICS				83	2			407	470		10.1103/RevModPhys.83.407			MAY 16 2011	2011										1891							WOS:000290730200001		
J	Moore, Joel E.								The birth of topological insulators								NATURE				464	7286			194	198		10.1038/nature08916			MAR 11 2010	2010										1588							WOS:000275366100032		
J	Schnyder, Andreas P.; Ryu, Shinsei; Furusaki, Akira; Ludwig, Andreas W. W.								Classification of topological insulators and superconductors in three spatial dimensions								PHYSICAL REVIEW B				78	19					195125	10.1103/PhysRevB.78.195125			NOV 2008	2008										1583							WOS:000262607800049		
J	Alicea, Jason								New directions in the pursuit of Majorana fermions in solid state systems								REPORTS ON PROGRESS IN PHYSICS				75	7					076501	10.1088/0034-4885/75/7/076501			JUL 2012	2012										1296							WOS:000305907700002		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1233							WOS:000282683200001		
J	Zhu, Hao; Richter, Curt A.; Zhao, Erhai; Bonevich, John E.; Kimes, William A.; Jang, Hyuk-Jae; Yuan, Hui; Li, Haitao; Arab, Abbas; Kirillov, Oleg; Maslar, James E.; Ioannou, Dimitris E.; Li, Qiliang								Topological Insulator Bi2Se3 Nanowire High Performance Field-Effect Transistors								SCIENTIFIC REPORTS				3						1757	10.1038/srep01757			APR 30 2013	2013										42							WOS:000318181700005		
J	Zhang, Haijun; Zhang, Shou-Cheng								Topological insulators from the perspective of first-principles calculations								PHYSICA STATUS SOLIDI-RAPID RESEARCH LETTERS				7	1-2			72	81		10.1002/pssr.201206414			FEB 2013	2013										42							WOS:000318068800008		
J	Akrap, Ana; Tran, Michael; Ubaldini, Alberto; Teyssier, Jeremie; Giannini, Enrico; van der Marel, Dirk; Lerch, Philippe; Homes, Christopher C.								Optical properties of Bi2Te2Se at ambient and high pressures								PHYSICAL REVIEW B				86	23					235207	10.1103/PhysRevB.86.235207			DEC 26 2012	2012										42							WOS:000312832600007		
J	Kim, Dohun; Li, Qiuzi; Syers, Paul; Butch, Nicholas P.; Paglione, Johnpierre; Das Sarma, S.; Fuhrer, Michael S.								Intrinsic Electron-Phonon Resistivity of Bi2Se3 in the Topological Regime								PHYSICAL REVIEW LETTERS				109	15					166801	10.1103/PhysRevLett.109.166801			OCT 15 2012	2012										42							WOS:000309815700008		
J	Schubert, Gerald; Fehske, Holger; Fritz, Lars; Vojta, Matthias								Fate of topological-insulator surface states under strong disorder								PHYSICAL REVIEW B				85	20					201105	10.1103/PhysRevB.85.201105			MAY 29 2012	2012										42							WOS:000304526800001		
J	Gofryk, K.; Kaczorowski, D.; Plackowski, T.; Leithe-Jasper, A.; Grin, Yu.								Magnetic and transport properties of rare-earth-based half-Heusler phases RPdBi: Prospective systems for topological quantum phenomena								PHYSICAL REVIEW B				84	3					035208	10.1103/PhysRevB.84.035208			JUL 29 2011	2011										42							WOS:000293304200006		
J	Coh, Sinisa; Vanderbilt, David; Malashevich, Andrei; Souza, Ivo								Chern-Simons orbital magnetoelectric coupling in generic insulators								PHYSICAL REVIEW B				83	8					085108	10.1103/PhysRevB.83.085108			FEB 23 2011	2011										42							WOS:000287654600006		
J	Calderon, M. J.; Valenzuela, B.; Bascones, E.								Tight-binding model for iron pnictides								PHYSICAL REVIEW B				80	9					094531	10.1103/PhysRevB.80.094531			SEP 2009	2009										42							WOS:000270383000101		
J	Bergman, Doron L.; Le Hur, Karyn								Near-zero modes in condensate phases of the Dirac theory on the honeycomb lattice								PHYSICAL REVIEW B				79	18					184520	10.1103/PhysRevB.79.184520			MAY 2009	2009										42							WOS:000266501200105		
J	Ares, Pablo; Jose Palacios, Juan; Abellan, Gonzalo; Gomez-Herrero, Julio; Zamora, Felix								Recent Progress on Antimonene: A New Bidimensional Material								ADVANCED MATERIALS				30	2					1703771	10.1002/adma.201703771			JAN 11 2018	2018										41							WOS:000419454800005		
J	Niu, X. H.; Xu, D. F.; Bai, Y. H.; Song, Q.; Shen, X. P.; Xie, B. P.; Sun, Z.; Huang, Y. B.; Peets, D. C.; Feng, D. L.								Presence of exotic electronic surface states in LaBi and LaSb								PHYSICAL REVIEW B				94	16					165163	10.1103/PhysRevB.94.165163			OCT 25 2016	2016										41							WOS:000390034700003		
J	Giorgianni, Flavio; Chiadroni, Enrica; Rovere, Andrea; Cestelli-Guidi, Mariangela; Perucchi, Andrea; Bellaveglia, Marco; Castellano, Michele; Di Giovenale, Domenico; Di Pirro, Giampiero; Ferrario, Massimo; Pompili, Riccardo; Vaccarezza, Cristina; Villa, Fabio; Cianchi, Alessandro; Mostacci, Andrea; Petrarca, Massimo; Brahlek, Matthew; Koirala, Nikesh; Oh, Seongshik; Lupi, Stefano								Strong nonlinear terahertz response induced by Dirac surface states in Bi2Se3 topological insulator								NATURE COMMUNICATIONS				7						11421	10.1038/ncomms11421			APR 2016	2016										41							WOS:000374895200001		
J	San-Jose, P.; Lado, J. L.; Aguado, R.; Guinea, F.; Fernandez-Rossier, J.								Majorana Zero Modes in Graphene								PHYSICAL REVIEW X				5	4					041042	10.1103/PhysRevX.5.041042			DEC 15 2015	2015										41							WOS:000366487900001		
J	Dantscher, K. -M.; Kozlov, D. A.; Olbrich, P.; Zoth, C.; Faltermeier, P.; Lindner, M.; Budkin, G. V.; Tarasenko, S. A.; Bel'kov, V. V.; Kvon, Z. D.; Mikhailov, N. N.; Dvoretsky, S. A.; Weiss, D.; Jenichen, B.; Ganichev, S. D.								Cyclotron-resonance-assisted photocurrents in surface states of a three-dimensional topological insulator based on a strained high-mobility HgTe film								PHYSICAL REVIEW B				92	16					165314	10.1103/PhysRevB.92.165314			OCT 27 2015	2015										41							WOS:000363521100002		
J	Lee, Joon Sue; Richardella, Anthony; Hickey, Danielle Reifsnyder; Mkhoyan, K. Andre; Samarth, Nitin								Mapping the chemical potential dependence of current-induced spin polarization in a topological insulator								PHYSICAL REVIEW B				92	15					155312	10.1103/PhysRevB.92.155312			OCT 20 2015	2015										41							WOS:000363013400005		
J	Wickramaratne, Darshana; Zahid, Ferdows; Lake, Roger K.								Electronic and thermoelectric properties of van der Waals materials with ring-shaped valence bands								JOURNAL OF APPLIED PHYSICS				118	7					075101	10.1063/1.4928559			AUG 21 2015	2015										41							WOS:000360441900045		
J	Cho, Sungjae; Dellabetta, Brian; Zhong, Ruidan; Schneeloch, John; Liu, Tiansheng; Gu, Genda; Gilbert, Matthew J.; Mason, Nadya								Aharonov-Bohm oscillations in a quasi-ballistic three-dimensional topological insulator nanowire								NATURE COMMUNICATIONS				6						7634	10.1038/ncomms8634			JUL 2015	2015										41							WOS:000358857800008		
J	Ma, Yandong; Li, Xiao; Kou, Liangzhi; Yan, Binghai; Niu, Chengwang; Dai, Ying; Heine, Thomas								Two-dimensional inversion-asymmetric topological insulators in functionalized III-Bi bilayers								PHYSICAL REVIEW B				91	23					235306	10.1103/PhysRevB.91.235306			JUN 8 2015	2015										41							WOS:000355720600005		
J	Wang, Qingkai; Chen, Yu; Miao, Lili; Jiang, Guobao; Chen, Shuqing; Liu, Jun; Fu, Xiquan; Zhao, Chujun; Zhang, Han								Wide spectral and wavelength-tunable dissipative soliton fiber laser with topological insulator nano-sheets self-assembly films sandwiched by PMMA polymer								OPTICS EXPRESS				23	6			7681	7693		10.1364/OE.23.007681			MAR 23 2015	2015										41							WOS:000351765900064		
J	Liu, Wenqing; He, Liang; Xu, Yongbing; Murata, Koichi; Onbasli, Mehmet C.; Lang, Murong; Maltby, Nick J.; Li, Shunpu; Wang, Xuefeng; Ross, Caroline A.; Bencok, Peter; van der Laan, Gerrit; Zhang, Rong; Wang, Kang. L.								Enhancing Magnetic Ordering in Cr-Doped Bi2Se3 Using High-T-C Ferrimagnetic Insulator								NANO LETTERS				15	1			764	769		10.1021/nl504480g			JAN 2015	2015										41							WOS:000348086100119		
J	Yoshimi, R.; Tsukazaki, A.; Kikutake, K.; Checkelsky, J. G.; Takahashi, K. S.; Kawasaki, M.; Tokura, Y.								Dirac electron states formed at the heterointerface between a topological insulator and a conventional semiconductor								NATURE MATERIALS				13	3			254	258		10.1038/NMAT3885			MAR 2014	2014										41							WOS:000331945200019		
J	Kou, Xufeng; He, Liang; Lang, Murong; Fan, Yabin; Wong, Kin; Jiang, Ying; Nie, Tianxiao; Jiang, Wanjun; Upadhyaya, Pramey; Xing, Zhikun; Wang, Yong; Xiu, Faxian; Schwartz, Robert N.; Wang, Kang L.								Manipulating Surface-Related Ferromagnetism in Modulation-Doped Topological Insulators								NANO LETTERS				13	10			4587	4593		10.1021/nl4020638			OCT 2013	2013										41							WOS:000326356300002		
J	Peng, Haibing; De, Debtanu; Lv, Bing; Wei, Fengyan; Chu, Ching-Wu								Absence of zero-energy surface bound states in CuxBi2Se3 studied via Andreev reflection spectroscopy								PHYSICAL REVIEW B				88	2					024515	10.1103/PhysRevB.88.024515			JUL 25 2013	2013										41							WOS:000322223800004		
J	Veldhorst, M.; Snelder, M.; Hoek, M.; Molenaar, C. G.; Leusink, D. P.; Golubov, A. A.; Hilgenkamp, H.; Brinkman, A.								Magnetotransport and induced superconductivity in Bi based three-dimensional topological insulators								PHYSICA STATUS SOLIDI-RAPID RESEARCH LETTERS				7	1-2			26	38		10.1002/pssr.201206408			FEB 2013	2013										41							WOS:000318068800004		
J	Maier, Luis; Oostinga, Jeroen B.; Knott, Daniel; Bruene, Christoph; Virtanen, Pauli; Tkachov, Grigory; Hankiewicz, Ewelina M.; Gould, Charles; Buhmann, Hartmut; Molenkamp, Laurens W.								Induced Superconductivity in the Three-Dimensional Topological Insulator HgTe								PHYSICAL REVIEW LETTERS				109	18					186806	10.1103/PhysRevLett.109.186806			NOV 2 2012	2012										41							WOS:000310612000029		
J	Taskin, A. A.; Sasaki, Satoshi; Segawa, Kouji; Ando, Yoichi								Achieving Surface Quantum Oscillations in Topological Insulator Thin Films of Bi2Se3								ADVANCED MATERIALS				24	41			5581	5585		10.1002/adma.201201827			NOV 2 2012	2012										41							WOS:000310545200010		
J	Rossi, E.; Bardarson, J. H.; Fuhrer, M. S.; Das Sarma, S.								Universal Conductance Fluctuations in Dirac Materials in the Presence of Long-range Disorder								PHYSICAL REVIEW LETTERS				109	9					096801	10.1103/PhysRevLett.109.096801			AUG 27 2012	2012										41							WOS:000308015500021		
J	Huang, F. -T.; Chu, M. -W.; Kung, H. H.; Lee, W. L.; Sankar, R.; Liou, S. -C.; Wu, K. K.; Kuo, Y. K.; Chou, F. C.								Nonstoichiometric doping and Bi antisite defect in single crystal Bi2Se3								PHYSICAL REVIEW B				86	8					081104	10.1103/PhysRevB.86.081104			AUG 16 2012	2012										41							WOS:000307723500001		
J	Silvestrov, P. G.; Brouwer, P. W.; Mishchenko, E. G.								Spin and charge structure of the surface states in topological insulators								PHYSICAL REVIEW B				86	7					075302	10.1103/PhysRevB.86.075302			AUG 2 2012	2012										41							WOS:000307061200002		
J	Schafgans, A. A.; Post, K. W.; Taskin, A. A.; Ando, Yoichi; Qi, Xiao-Liang; Chapler, B. C.; Basov, D. N.								Landau level spectroscopy of surface states in the topological insulator Bi0.91Sb0.09 via magneto-optics								PHYSICAL REVIEW B				85	19					195440	10.1103/PhysRevB.85.195440			MAY 17 2012	2012										41							WOS:000304173400006		
J	Sticlet, Doru; Piechon, Frederic; Fuchs, Jean-Noel; Kalugin, Pavel; Simon, Pascal								Geometrical engineering of a two-band Chern insulator in two dimensions with arbitrary topological index								PHYSICAL REVIEW B				85	16					165456	10.1103/PhysRevB.85.165456			APR 30 2012	2012										41							WOS:000303387600014		
J	Yan, Binghai; Muechler, Lukas; Qi, Xiao-Liang; Zhang, Shou-Cheng; Felser, Claudia								Topological insulators in filled skutterudites								PHYSICAL REVIEW B				85	16					165125	10.1103/PhysRevB.85.165125			APR 16 2012	2012										41							WOS:000302855600003		
J	Wang, Z. Y.; Li, H. D.; Guo, X.; Ho, W. K.; Xie, M. H.								Growth characteristics of topological insulator Bi2Se3 films on different substrates								JOURNAL OF CRYSTAL GROWTH				334	1			96	102		10.1016/j.jcrysgro.2011.08.029			NOV 1 2011	2011										41							WOS:000296269000016		
J	Chu, Rui-Lin; Shi, Junren; Shen, Shun-Qing								Surface edge state and half-quantized Hall conductance in topological insulators								PHYSICAL REVIEW B				84	8					085312	10.1103/PhysRevB.84.085312			AUG 23 2011	2011										41							WOS:000294227700006		
J	Grushin, Adolfo G.; Rodriguez-Lopez, Pablo; Cortijo, Alberto								Effect of finite temperature and uniaxial anisotropy on the Casimir effect with three-dimensional topological insulators								PHYSICAL REVIEW B				84	4					045119	10.1103/PhysRevB.84.045119			JUL 14 2011	2011										41							WOS:000292737500003		
J	Zyuzin, A. A.; Burkov, A. A.								Thin topological insulator film in a perpendicular magnetic field								PHYSICAL REVIEW B				83	19					195413	10.1103/PhysRevB.83.195413			MAY 6 2011	2011										41							WOS:000290307700004		
J	Freedman, Michael; Hastings, Matthew B.; Nayak, Chetan; Qi, Xiao-Liang; Walker, Kevin; Wang, Zhenghan								Projective ribbon permutation statistics: A remnant of non-Abelian braiding in higher dimensions								PHYSICAL REVIEW B				83	11					115132	10.1103/PhysRevB.83.115132			MAR 23 2011	2011										41							WOS:000288695200002		
J	Kharitonov, Maxim Yu; Efetov, Konstantin B.								Excitonic condensation in a double-layer graphene system								SEMICONDUCTOR SCIENCE AND TECHNOLOGY				25	3					034004	10.1088/0268-1242/25/3/034004			MAR 4 2010	2010										41							WOS:000274318300009		
J	Lebegue, S.; Yin, Z. P.; Pickett, W. E.								The delicate electronic and magnetic structure of the LaFePnO system (Pn = pnicogen)								NEW JOURNAL OF PHYSICS				11						025004	10.1088/1367-2630/11/2/025004			FEB 27 2009	2009										41							WOS:000263744200003		
J	Pan, Y.; Nikitin, A. M.; Araizi, G. K.; Huang, Y. K.; Matsushita, Y.; Naka, T.; de Visser, A.								Rotational symmetry breaking in the topological superconductor SrxBi2Se3 probed by upper-critical field experiments								SCIENTIFIC REPORTS				6						28632	10.1038/srep28632			JUN 28 2016	2016										40							WOS:000378790100001		
J	Eschbach, Markus; Mlynczak, Ewa; Kellner, Jens; Kampmeier, Joern; Lanius, Martin; Neumann, Elmar; Weyrich, Christian; Gehlmann, Mathias; Gospodaric, Pika; Doering, Sven; Mussler, Gregor; Demarina, Nataliya; Luysberg, Martina; Bihlmayer, Gustav; Schaepers, Thomas; Plucinski, Lukasz; Bluegel, Stefan; Morgenstern, Markus; Schneider, Claus M.; Gruetzmacher, Detlev								Realization of a vertical topological p-n junction in epitaxial Sb2Te3/Bi2Te3 heterostructures								NATURE COMMUNICATIONS				6						8816	10.1038/ncomms9816			NOV 2015	2015										40							WOS:000366295500002		
J	Collaudin, Aurelie; Fauque, Benoit; Fuseya, Yuki; Kang, Woun; Behnia, Kamran								Angle Dependence of the Orbital Magnetoresistance in Bismuth								PHYSICAL REVIEW X				5	2					021022	10.1103/PhysRevX.5.021022			JUN 9 2015	2015										40							WOS:000355832100001		
J	Chiu, Ching-Kai; Pikulin, D. I.; Franz, M.								Strongly interacting Majorana fermions								PHYSICAL REVIEW B				91	16					165402	10.1103/PhysRevB.91.165402			APR 2 2015	2015										40							WOS:000352143000002		
J	Brydon, P. M. R.; Das Sarma, S.; Hui, Hoi-Yin; Sau, Jay D.								Odd-parity superconductivity from phonon-mediated pairing: Application to CuxBi2Se3								PHYSICAL REVIEW B				90	18					184512	10.1103/PhysRevB.90.184512			NOV 14 2014	2014										40							WOS:000345422200008		
J	Figueroa, A. I.; van der Laan, G.; Collins-McIntyre, L. J.; Zhang, S. -L.; Baker, A. A.; Harrison, S. E.; Schoenherr, P.; Cibin, G.; Hesjedal, T.								Magnetic Cr doping of Bi2Se3: Evidence for divalent Cr from x-ray spectroscopy								PHYSICAL REVIEW B				90	13					134402	10.1103/PhysRevB.90.134402			OCT 3 2014	2014										40							WOS:000343943800003		
J	Collins-McIntyre, L. J.; Harrison, S. E.; Schoenherr, P.; Steinke, N. -J.; Kinane, C. J.; Charlton, T. R.; Alba-Veneroa, D.; Pushp, A.; Kellock, A. J.; Parkin, S. S. P.; Harris, J. S.; Langridge, S.; van der Laan, G.; Hesjedal, T.								Magnetic ordering in Cr-doped Bi2Se3 thin films								EPL				107	5					57009	10.1209/0295-5075/107/57009			SEP 2014	2014										40							WOS:000341559900029		
J	Boschker, Jos E.; Momand, Jamo; Bragaglia, Valeria; Wang, Ruining; Perumal, Karthick; Giussani, Alessandro; Kooi, Bart J.; Riechert, Henning; Calarco, Raffaella								Surface Reconstruction-Induced Coincidence Lattice Formation Between Two-Dimensionally Bonded Materials and a Three-Dimensionally Bonded Substrate								NANO LETTERS				14	6			3534	3538		10.1021/nl5011492			JUN 2014	2014										40							WOS:000337337100086		
J	Kozlov, D. A.; Kvon, Z. D.; Olshanetsky, E. B.; Mikhailov, N. N.; Dvoretsky, S. A.; Weiss, D.								Transport Properties of a 3D Topological Insulator based on a Strained High-Mobility HgTe Film								PHYSICAL REVIEW LETTERS				112	19						10.1103/PhysRevLett.112.196801			MAY 14 2014	2014										40							WOS:000335928800019		
J	Tian, Jifa; Chang, Cuizu; Cao, Helin; He, Ke; Ma, Xucun; Xue, Qikun; Chen, Yong P.								Quantum and Classical Magnetoresistance in Ambipolar Topological Insulator Transistors with Gate-tunable Bulk and Surface Conduction								SCIENTIFIC REPORTS				4						4859	10.1038/srep04859			MAY 7 2014	2014										40							WOS:000335434900001		
J	Biswas, Rudro R.; Ryu, Shinsei								Diffusive transport in Weyl semimetals								PHYSICAL REVIEW B				89	1					014205	10.1103/PhysRevB.89.014205			JAN 27 2014	2014										40							WOS:000332244600002		
J	Lu, Hai-Zhou; Zhao, An; Shen, Shun-Qing								Quantum Transport in Magnetic Topological Insulator Thin Films								PHYSICAL REVIEW LETTERS				111	14					146802	10.1103/PhysRevLett.111.146802			OCT 2 2013	2013										40							WOS:000325369600019		
J	Wang, Yung Jui; Tsai, Wei-Feng; Lin, Hsin; Xu, Su-Yang; Neupane, M.; Hasan, M. Z.; Bansil, A.								Nontrivial spin texture of the coaxial Dirac cones on the surface of topological crystalline insulator SnTe								PHYSICAL REVIEW B				87	23					235317	10.1103/PhysRevB.87.235317			JUN 25 2013	2013										40							WOS:000320953300003		
J	Liu, Wenliang; Peng, Xiangyang; Wei, Xiaolin; Yang, Hong; Stocks, G. Malcolm; Zhong, Jianxin								Surface and substrate induced effects on thin films of the topological insulators Bi2Se3 and Bi2Te3								PHYSICAL REVIEW B				87	20					205315	10.1103/PhysRevB.87.205315			MAY 31 2013	2013										40							WOS:000319803200007		
J	Roy, Anupam; Guchhait, Samaresh; Sonde, Sushant; Dey, Rik; Pramanik, Tanmoy; Rai, Amritesh; Movva, Hema C. P.; Colombo, Luigi; Banerjee, Sanjay K.								Two-dimensional weak anti-localization in Bi2Te3 thin film grown on Si(111)-(7x7) surface by molecular beam epitaxy								APPLIED PHYSICS LETTERS				102	16					163118	10.1063/1.4803018			APR 22 2013	2013										40							WOS:000318269300083		
J	Zhao, Jinggeng; Liu, Haozhe; Ehm, Lars; Dong, Dawei; Chen, Zhiqiang; Gu, Genda								High-pressure phase transitions, amorphization, and crystallization behaviors in Bi2Se3								JOURNAL OF PHYSICS-CONDENSED MATTER				25	12					125602	10.1088/0953-8984/25/12/125602			MAR 27 2013	2013										40							WOS:000315598400019		
J	Hu, Xiang; Rueegg, Andreas; Fiete, Gregory A.								Topological phases in layered pyrochlore oxide thin films along the [111] direction								PHYSICAL REVIEW B				86	23					235141	10.1103/PhysRevB.86.235141			DEC 26 2012	2012										40							WOS:000312832600003		
J	Borisova, Svetlana; Krumrain, Julian; Luysberg, Martina; Mussler, Gregor; Gruetzmacher, Detlev								Mode of Growth of Ultrathin Topological Insulator Bi2Te3 Films on Si (111) Substrates								CRYSTAL GROWTH & DESIGN				12	12			6098	6103		10.1021/cg301236s			DEC 2012	2012										40							WOS:000311858600035		
J	Shan, Wen-Yu; Lu, Jie; Lu, Hai-Zhou; Shen, Shun-Qing								Vacancy-induced bound states in topological insulators								PHYSICAL REVIEW B				84	3					035307	10.1103/PhysRevB.84.035307			JUL 20 2011	2011										40							WOS:000292924800010		
J	Hastings, Matthew B.; Loring, Terry A.								Topological insulators and C*-algebras: Theory and numerical practice								ANNALS OF PHYSICS				326	7			1699	1759		10.1016/j.aop.2010.12.013			JUL 2011	2011										40							WOS:000291712500004		
J	Karch, Andreas								Surface plasmons and topological insulators								PHYSICAL REVIEW B				83	24					245432	10.1103/PhysRevB.83.245432			JUN 27 2011	2011										40							WOS:000292128800023		
J	Zhang, Machi; Hung, Hsiang-hsuan; Zhang, Chuanwei; Wu, Congjun								Quantum anomalous Hall states in the p-orbital honeycomb optical lattices								PHYSICAL REVIEW A				83	2					023615	10.1103/PhysRevA.83.023615			FEB 23 2011	2011										40							WOS:000287653500003		
J	Kwon, Kideok D.; Refson, Keith; Bone, Sharon; Qiao, Ruimin; Yang, Wan-li; Liu, Zhi; Sposito, Garrison								Magnetic ordering in tetragonal FeS: Evidence for strong itinerant spin fluctuations								PHYSICAL REVIEW B				83	6					064402	10.1103/PhysRevB.83.064402			FEB 9 2011	2011										40							WOS:000287130700003		
J	Sines, Ian T.; Schaak, Raymond E.								Phase-Selective Chemical Extraction of Selenium and Sulfur from Nanoscale Metal Chalcogenides: A General Strategy for Synthesis, Purification, and Phase Targeting								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				133	5			1294	1297		10.1021/ja110374d			FEB 9 2011	2011										40							WOS:000287228500042		
J	Rodriguez, Efrain E.; Stock, Christopher; Hsieh, Ping-Yen; Butch, Nicholas P.; Paglione, Johnpierre; Green, Mark A.								Chemical control of interstitial iron leading to superconductivity in Fe1+xTe0.7Se0.3								CHEMICAL SCIENCE				2	9			1782	1787		10.1039/c1sc00114k			2011	2011										40							WOS:000293693700020		
J	Huang, Tzu-Wen; Chen, Ta-Kun; Yeh, Kuo-Wei; Ke, Chung-Ting; Chen, Chi Liang; Huang, Yi-Lin; Hsu, Fong-Chi; Wu, Maw-Kuen; Wu, Phillip M.; Avdeev, Maxim; Studer, Andrew J.								Doping-driven structural phase transition and loss of superconductivity in MxFe1-xSe delta (M=Mn, Cu)								PHYSICAL REVIEW B				82	10					104502	10.1103/PhysRevB.82.104502			SEP 2 2010	2010										40							WOS:000281486100004		
J	Wang, Yuxi; Xu, Ning; Li, Deyu; Zhu, Jia								Thermal Properties of Two Dimensional Layered Materials								ADVANCED FUNCTIONAL MATERIALS				27	19					UNSP 1604134	10.1002/adfm.201604134			MAY 18 2017	2017						2nd International Conference on Two-Dimensional Layered Materials	JAN 07-09, 2016		Hong Kong, PEOPLES R CHINA	39							WOS:000401319100021		
J	Guan, Syu-You; Chen, Peng-Jen; Chu, Ming-Wen; Sankar, Raman; Chou, Fangcheng; Jeng, Horng-Tay; Chang, Chia-Seng; Chuang, Tien-Ming								Superconducting topological surface states in the noncentrosymmetric bulk superconductor PbTaSe2								SCIENCE ADVANCES				2	11					e1600894	10.1126/sciadv.1600894			NOV 2016	2016										39							WOS:000391267800013		
J	Yasuda, K.; Tsukazaki, A.; Yoshimi, R.; Takahashi, K. S.; Kawasaki, M.; Tokura, Y.								Large Unidirectional Magnetoresistance in a Magnetic Topological Insulator								PHYSICAL REVIEW LETTERS				117	12					127202	10.1103/PhysRevLett.117.127202			SEP 14 2016	2016										39							WOS:000383172400009		
J	Powell, Anna E.; Hodges, James M.; Schaak, Raymond E.								Preserving Both Anion and Cation Sublattice Features during a Nanocrystal Cation-Exchange Reaction: Synthesis of Metastable Wurtzite-Type CoS and MnS								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				138	2			471	474		10.1021/jacs.5b10624			JAN 20 2016	2016										39							WOS:000368562800002		
J	Orlita, M.; Piot, B. A.; Martinez, G.; Kumar, N. K. Sampath; Faugeras, C.; Potemski, M.; Michel, C.; Hankiewicz, E. M.; Brauner, T.; Drasar, C.; Schreyeck, S.; Grauer, S.; Brunner, K.; Gould, C.; Bruene, C.; Molenkamp, L. W.								Magneto-Optics of Massive Dirac Fermions in Bulk Bi2Se3								PHYSICAL REVIEW LETTERS				114	18					186401	10.1103/PhysRevLett.114.186401			MAY 6 2015	2015										39							WOS:000353969200009		
J	Bergholtz, E. J.; Liu, Zhao; Trescher, M.; Moessner, R.; Udagawa, M.								Topology and Interactions in a Frustrated Slab: Tuning from Weyl Semimetals to C > 1 Fractional Chern Insulators								PHYSICAL REVIEW LETTERS				114	1					016806	10.1103/PhysRevLett.114.016806			JAN 8 2015	2015										39							WOS:000349417700001		
J	Assaf, B. A.; Katmis, F.; Wei, P.; Satpati, B.; Zhang, Z.; Bennett, S. P.; Harris, V. G.; Moodera, J. S.; Heiman, D.								Quantum coherent transport in SnTe topological crystalline insulator thin films								APPLIED PHYSICS LETTERS				105	10					102108	10.1063/1.4895456			SEP 8 2014	2014										39							WOS:000342758700033		
J	Min, Yuho; Moon, Geon Dae; Kim, Chang-Eun; Lee, Ji-Hwan; Yang, Heesung; Soon, Aloysius; Jeong, Unyong								Solution-based synthesis of anisotropic metal chalcogenide nanocrystals and their applications								JOURNAL OF MATERIALS CHEMISTRY C				2	31			6222	6248		10.1039/c4tc00586d			AUG 21 2014	2014										39							WOS:000340353700001		
