PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Geim, A. K.; Novoselov, K. S.								The rise of graphene								NATURE MATERIALS				6	3			183	191		10.1038/nmat1849			MAR 2007	2007										25192							WOS:000244570700015		
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										14152							WOS:000264764600004		
J	Lee, Changgu; Wei, Xiaoding; Kysar, Jeffrey W.; Hone, James								Measurement of the elastic properties and intrinsic strength of monolayer graphene								SCIENCE				321	5887			385	388		10.1126/science.1157996			JUL 18 2008	2008										10772							WOS:000257713900044		
J	Balandin, Alexander A.; Ghosh, Suchismita; Bao, Wenzhong; Calizo, Irene; Teweldebrhan, Desalegne; Miao, Feng; Lau, Chun Ning								Superior thermal conductivity of single-layer graphene								NANO LETTERS				8	3			902	907		10.1021/nl0731872			MAR 2008	2008										7253							WOS:000253947400025		
J	Li, Xuesong; Cai, Weiwei; An, Jinho; Kim, Seyoung; Nah, Junghyo; Yang, Dongxing; Piner, Richard; Velamakanni, Aruna; Jung, Inhwa; Tutuc, Emanuel; Banerjee, Sanjay K.; Colombo, Luigi; Ruoff, Rodney S.								Large-Area Synthesis of High-Quality and Uniform Graphene Films on Copper Foils								SCIENCE				324	5932			1312	1314		10.1126/science.1171245			JUN 5 2009	2009										7175							WOS:000266635100041		
J	Kim, Keun Soo; Zhao, Yue; Jang, Houk; Lee, Sang Yoon; Kim, Jong Min; Kim, Kwang S.; Ahn, Jong-Hyun; Kim, Philip; Choi, Jae-Young; Hong, Byung Hee								Large-scale pattern growth of graphene films for stretchable transparent electrodes								NATURE				457	7230			706	710		10.1038/nature07719			FEB 5 2009	2009										7055							WOS:000263064700037		
J	Diebold, U								The surface science of titanium dioxide								SURFACE SCIENCE REPORTS				48	5-8			53	229	PII S0167-5729(02)00100-0	10.1016/S0167-5729(02)00100-0			2003	2003										5446							WOS:000186523100001		
J	Ertem, Mehmed Z.; Konezny, Steven J.; Araujo, C. Moyses; Batista, Victor S.								Functional Role of Pyridinium during Aqueous Electrochemical Reduction of CO2 on Pt(111)								JOURNAL OF PHYSICAL CHEMISTRY LETTERS				4	5			745	748		10.1021/jz400183z			MAR 7 2013	2013										98							WOS:000316044000009		
J	Huang, Yuan; Wu, Jing; Xu, Xiangfan; Ho, Yuda; Ni, Guangxin; Zou, Qiang; Koon, Gavin Kok Wai; Zhao, Weijie; Castro Neto, A. H.; Eda, Goki; Shen, Chengmin; Oezyilmaz, Barbaros								An innovative way of etching MoS2: Characterization and mechanistic investigation								NANO RESEARCH				6	3			200	207		10.1007/s12274-013-0296-8			MAR 2013	2013										98							WOS:000316087300006		
J	Gao, Hui; Song, Li; Guo, Wenhua; Huang, Liang; Yang, Dezheng; Wang, Fangcong; Zuo, Yalu; Fan, Xiaolong; Liu, Zheng; Gao, Wei; Vajtai, Robert; Hackenberg, Ken; Ajayan, Pulickel M.								A simple method to synthesize continuous large area nitrogen-doped graphene								CARBON				50	12			4476	4482		10.1016/j.carbon.2012.05.026			OCT 2012	2012										98							WOS:000307206600018		
J	Anselmi, Chiara; Mosconi, Edoardo; Pastore, Mariachiara; Ronca, Enrico; De Angelis, Filippo								Adsorption of organic dyes on TiO2 surfaces in dye-sensitized solar cells: interplay of theory and experiment								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				14	46			15963	15974		10.1039/c2cp43006a			2012	2012										98							WOS:000310740000003		
J	Lin, G. -R.; Lin, Y. -C.								Directly exfoliated and imprinted graphite nano-particle saturable absorber for passive mode-locking erbium-doped fiber laser								LASER PHYSICS LETTERS				8	12			880	886		10.1002/lapl.201110078			DEC 2011	2011										98							WOS:000298019800006		
J	Lee, Wi Hyoung; Park, Jaesung; Kim, Youngsoo; Kim, Kwang S.; Hong, Byung Hee; Cho, Kilwon								Control of Graphene Field-Effect Transistors by Interfacial Hydrophobic Self-Assembled Monolayers								ADVANCED MATERIALS				23	30			3460	+		10.1002/adma.201101340			AUG 9 2011	2011										98							WOS:000294652500018		
J	Koh, Yee Kan; Bae, Myung-Ho; Cahill, David G.; Pop, Eric								Reliably Counting Atomic Planes of Few-Layer Graphene (n > 4)								ACS NANO				5	1			269	274		10.1021/nn102658a			JAN 2011	2011										98							WOS:000286487300034		
J	Leconte, Nicolas; Moser, Joel; Ordejon, Pablo; Tao, Haihua; Lherbier, Aurelien; Bachtold, Adrian; Alsina, Francesc; Sotomayor Torres, Clivia M.; Charlier, Jean-Christophe; Roche, Stephan								Damaging Graphene with Ozone Treatment: A Chemically Tunable Metal-Insulator Transition								ACS NANO				4	7			4033	4038		10.1021/nn100537z			JUL 2010	2010										98							WOS:000280364800060		
J	Yang, Huafeng; Zhang, Qixian; Shan, Changsheng; Li, Fenghua; Han, Dongxue; Niu, Li								Stable, Conductive Supramolecular Composite of Graphene Sheets with Conjugated Polyelectrolyte								LANGMUIR				26	9			6708	6712		10.1021/la100365z			MAY 4 2010	2010										98							WOS:000276969700094		
J	Han, Wei; Pi, K.; Bao, W.; McCreary, K. M.; Li, Yan; Wang, W. H.; Lau, C. N.; Kawakami, R. K.								Electrical detection of spin precession in single layer graphene spin valves with transparent contacts								APPLIED PHYSICS LETTERS				94	22					222109	10.1063/1.3147203			JUN 1 2009	2009										98							WOS:000266674300032		
J	Heise, H. M.; Kuckuk, R.; Ojha, A. K.; Srivastava, A.; Srivastava, V.; Asthana, B. P.								Characterisation of carbonaceous materials using Raman spectroscopy: a comparison of carbon nanotube filters, single- and multi-walled nanotubes, graphitised porous carbon and graphite								JOURNAL OF RAMAN SPECTROSCOPY				40	3			344	353		10.1002/jrs.2120			MAR 2009	2009										98							WOS:000264645600018		
J	Malajovich, I; Kikkawa, JM; Awschalom, DD; Berry, JJ; Samarth, N								Coherent transfer of spin through a semiconductor heterointerface								PHYSICAL REVIEW LETTERS				84	5			1015	1018		10.1103/PhysRevLett.84.1015			JAN 31 2000	2000										98							WOS:000085005700055		
J	Zhang, Yu; Cui, Wenquan; An, Weijia; Liu, Li; Liang, Yinghua; Zhu, Yongfa								Combination of photoelectrocatalysis and adsorption for removal of bisphenol A over TiO2-graphene hydrogel with 3D network structure								APPLIED CATALYSIS B-ENVIRONMENTAL				221				36	46		10.1016/j.apcatb.2017.08.076			FEB 2018	2018										97							WOS:000414109700005		
J	Thonhauser, T.; Zuluaga, S.; Arter, C. A.; Berland, K.; Schroder, E.; Hyldgaard, P.								Spin Signature of Nonlocal Correlation Binding in Metal-Organic Frameworks								PHYSICAL REVIEW LETTERS				115	13					136402	10.1103/PhysRevLett.115.136402			SEP 22 2015	2015										97							WOS:000361677000011		
J	Wang, Di-Yan; Huang, I-Sheng; Ho, Po-Hsun; Li, Shao-Sian; Yeh, Yun-Chieh; Wang, Duan-Wei; Chen, Wei-Liang; Lee, Yu-Yang; Chang, Yu-Ming; Chen, Chia-Chun; Liang, Chi-Te; Chen, Chun-Wei								Clean-Lifting Transfer of Large-area Residual-Free Graphene Films								ADVANCED MATERIALS				25	32			4521	4526		10.1002/adma.201301152			AUG 27 2013	2013										97							WOS:000327749600023		
J	Cheng, Gang; Akhtar, M. Shaheer; Yang, O-Bong; Stadler, Florian J.								Novel Preparation of Anatase TiO2@Reduced Graphene Oxide Hybrids for High-Performance Dye-Sensitized Solar Cells								ACS APPLIED MATERIALS & INTERFACES				5	14			6635	6642		10.1021/am4013374			JUL 24 2013	2013										97							WOS:000322432500029		
J	Gao, Daqiang; Si, Mingsu; Li, Jinyun; Zhang, Jing; Zhang, Zhipeng; Yang, Zhaolong; Xue, Desheng								Ferromagnetism in freestanding MoS2 nanosheets								NANOSCALE RESEARCH LETTERS				8						129	10.1186/1556-276X-8-129			MAR 16 2013	2013										97							WOS:000317017100001		
J	Fan, Xiujuan; Jiao, Guozheng; Zhao, Wei; Jin, Pengfei; Li, Xin								Magnetic Fe3O4-graphene composites as targeted drug nanocarriers for pH-activated release								NANOSCALE				5	3			1143	1152		10.1039/c2nr33158f			2013	2013										97							WOS:000313803000043		
J	Koepke, Justin C.; Wood, Joshua D.; Estrada, David; Ong, Zhun-Yong; He, Kevin T.; Pop, Eric; Lyding, Joseph W.								Atomic-Scale Evidence for Potential Barriers and Strong Carrier Scattering at Graphene Grain Boundaries: A Scanning Tunneling Microscopy Study								ACS NANO				7	1			75	86		10.1021/nn302064p			JAN 2013	2013										97							WOS:000314082800012		
J	Wang, Chundong; Li, Yi; Chui, Ying-San; Wu, Qi-Hui; Chen, Xianfeng; Zhang, Wenjun								Three-dimensional Sn-graphene anode for high-performance lithium-ion batteries								NANOSCALE				5	21			10599	10604		10.1039/c3nr02872k			2013	2013										97							WOS:000325762000066		
J	Kato, Toshiaki; Hatakeyama, Rikizo								Site- and alignment-controlled growth of graphene nanoribbons from nickel nanobars								NATURE NANOTECHNOLOGY				7	10			651	656		10.1038/nnano.2012.145			OCT 2012	2012										97							WOS:000309675000015		
J	Wu, Yaping; Chou, Harry; Ji, Hengxing; Wu, Qingzhi; Chen, Shanshan; Jiang, Wei; Hao, Yufeng; Kang, Junyong; Ren, Yujie; Piner, Richard D.; Ruoff, Rodney S.								Growth Mechanism and Controlled Synthesis of AB-Stacked Bilayer Graphene on Cu-Ni Alloy Foils								ACS NANO				6	9			7731	7738		10.1021/nn301689m			SEP 2012	2012										97							WOS:000309040600019		
J	Singh, Virendra V.; Gupta, Garima; Batra, Anirudh; Nigam, Anil K.; Boopathi, Mannan; Gutch, Pranav K.; Tripathi, Brajesh K.; Srivastava, Anchal; Samuel, Merwyn; Agarwal, Gauri S.; Singh, Beer; Vijayaraghavan, Rajagopalan								Greener Electrochemical Synthesis of High Quality Graphene Nanosheets Directly from Pencil and its SPR Sensing Application								ADVANCED FUNCTIONAL MATERIALS				22	11			2352	2362		10.1002/adfm.201102525			JUN 6 2012	2012										97							WOS:000304749600016		
J	Teng, Po-Yuan; Lu, Chun-Chieh; Akiyama-Hasegawa, Kotone; Lin, Yung-Chang; Yeh, Chao-Hui; Suenaga, Kazu; Chiu, Po-Wen								Remote Catalyzation for Direct Formation of Graphene Layers on Oxides								NANO LETTERS				12	3			1379	1384		10.1021/nl204024k			MAR 2012	2012										97							WOS:000301406800045		
J	Crowther, Andrew C.; Ghassaei, Amanda; Jung, Naeyoung; Brus, Louis E.								Strong Charge-Transfer Doping of 1 to 10 Layer Graphene by NO2								ACS NANO				6	2			1865	1875		10.1021/nn300252a			FEB 2012	2012										97							WOS:000300757900098		
J	Ivanovskii, A. L.								Graphene-based and graphene-like materials								RUSSIAN CHEMICAL REVIEWS				81	7			571	605		10.1070/RC2012v081n07ABEH004302			2012	2012										97							WOS:000308810500001		
J	Kang, Yan-Ru; Li, Ya-Li; Hou, Feng; Wen, Yang-Yang; Su, Dong								Fabrication of electric papers of graphene nanosheet shelled cellulose fibres by dispersion and infiltration as flexible electrodes for energy storage								NANOSCALE				4	10			3248	3253		10.1039/c2nr30318c			2012	2012										97							WOS:000303604000038		
J	Young, Robert J.; Gong, Lei; Kinloch, Ian A.; Riaz, Ibtsam; Jalil, Rashed; Novoselov, Kostya S.								Strain Mapping in a Graphene Monolayer Nanocomposite								ACS NANO				5	4			3079	3084		10.1021/nn2002079			APR 2011	2011										97							WOS:000289742100077		
J	Gubbins, Keith E.; Liu, Ying-Chun; Moore, Joshua D.; Palmer, Jeremy C.								The role of molecular modeling in confined systems: impact and prospects								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				13	1			58	85		10.1039/c0cp01475c			2011	2011										97							WOS:000285099800005		
J	Calandra, Matteo; Mazin, I. I.; Mauri, Francesco								Effect of dimensionality on the charge-density wave in few-layer 2H-NbSe2								PHYSICAL REVIEW B				80	24					241108	10.1103/PhysRevB.80.241108			DEC 2009	2009										97							WOS:000273229200008		
J	Luschtinetz, Regina; Frenzel, Johannes; Milek, Theodor; Seifert, Gotthard								Adsorption of Phosphonic Acid at the TiO2 Anatase (101) and Rutile (110) Surfaces								JOURNAL OF PHYSICAL CHEMISTRY C				113	14			5730	5740		10.1021/jp8110343			APR 9 2009	2009										97							WOS:000264805700056		
J	Han, Wei; Wang, W. H.; Pi, K.; McCreary, K. M.; Bao, W.; Li, Yan; Miao, F.; Lau, C. N.; Kawakami, R. K.								Electron-Hole Asymmetry of Spin Injection and Transport in Single-Layer Graphene								PHYSICAL REVIEW LETTERS				102	13					137205	10.1103/PhysRevLett.102.137205			APR 3 2009	2009										97							WOS:000264888600067		
J	Wang, Xianbao; You, Haijun; Liu, Fangming; Li, Mingjian; Wan, Li; Li, Shaoqing; Li, Qin; Xu, Yang; Tian, Rong; Yu, Ziyong; Xiang, Dong; Cheng, Jing								Large-Scale Synthesis of Few-Layered Graphene using CVD								CHEMICAL VAPOR DEPOSITION				15	1-3			53	56		10.1002/cvde.200806737			MAR 2009	2009										97							WOS:000264932600009		
J	Malard, L. M.; Elias, D. C.; Alves, E. S.; Pimenta, M. A.								Observation of Distinct Electron-Phonon Couplings in Gated Bilayer Graphene								PHYSICAL REVIEW LETTERS				101	25					257401	10.1103/PhysRevLett.101.257401			DEC 19 2008	2008										97							WOS:000261891200070		
J	Pizzi, Giovanni; Cepellotti, Andrea; Sabatini, Riccardo; Marzari, Nicola; Kozinsky, Boris								AiiDA: automated interactive infrastructure and database for computational science								COMPUTATIONAL MATERIALS SCIENCE				111				218	230		10.1016/j.commatsci.2015.09.013			JAN 2016	2016										96							WOS:000364164400030		
J	Cheng, Xi; Fabbri, Emiliana; Nachtegaal, Maarten; Castelli, Ivano E.; El Kazzi, Mario; Haumont, Raphael; Marzari, Nicola; Schmidt, Thomas J.								Oxygen Evolution Reaction on La1-xSrxCoO3 Perovskites: A Combined Experimental and Theoretical Study of Their Structural, Electronic, and Electrochemical Properties								CHEMISTRY OF MATERIALS				27	22			7662	7672		10.1021/acs.chemmater.5b03138			NOV 24 2015	2015										96							WOS:000365465600017		
J	Sun, Jing; Yang, Siwei; Wang, Zhongyang; Shen, Hao; Xu, Tao; Sun, Litao; Li, Hao; Chen, Wenwen; Jiang, Xingyu; Ding, Guqiao; Kang, Zhenhui; Xie, Xiaoming; Jiang, Mianheng								Ultra-High Quantum Yield of Graphene Quantum Dots: Aromatic-Nitrogen Doping and Photoluminescence Mechanism								PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION				32	4			434	440		10.1002/ppsc.201400189			APR 2015	2015										96							WOS:000353051900004		
J	Deretzis, I.; Alberti, A.; Pellegrino, G.; Smecca, E.; Giannazzo, F.; Sakai, N.; Miyasaka, T.; La Magna, A.								Atomistic origins of CH3NH3PbI3 degradation to PbI2 in vacuum								APPLIED PHYSICS LETTERS				106	13					131904	10.1063/1.4916821			MAR 30 2015	2015										96							WOS:000352310700018		
J	Tan, Yuan-Zhi; Yang, Bo; Parvez, Khaled; Narita, Akimitsu; Osella, Silvio; Beljonne, David; Feng, Xinliang; Muellen, Klaus								Atomically precise edge chlorination of nanographenes and its application in graphene nanoribbons								NATURE COMMUNICATIONS				4						2646	10.1038/ncomms3646			NOV 2013	2013										96							WOS:000327948600001		
J	Ding, Yi; Wang, Yanli								Density Functional Theory Study of the Silicene-like SiX and XSi3 (X = B, C, N, Al, P) Honeycomb Lattices: The Various Buckled Structures and Versatile Electronic Properties								JOURNAL OF PHYSICAL CHEMISTRY C				117	35			18266	18278		10.1021/jp407666m			SEP 5 2013	2013										96							WOS:000330162800041		
J	Cinquanta, Eugenio; Scalise, Emilio; Chiappe, Daniele; Grazianetti, Carlo; van den Broek, Bas; Houssa, Michel; Fanciulli, Marco; Molle, Alessandro								Getting through the Nature of Silicene: An sp(2)-sp(3) Two-Dimensional Silicon Nanosheet								JOURNAL OF PHYSICAL CHEMISTRY C				117	32			16719	16724		10.1021/jp405642g			AUG 15 2013	2013										96							WOS:000323301100048		
J	Jia, Chuancheng; Jiang, Jiaolong; Gan, Lin; Guo, Xuefeng								Direct Optical Characterization of Graphene Growth and Domains on Growth Substrates								SCIENTIFIC REPORTS				2						707	10.1038/srep00707			OCT 4 2012	2012										96							WOS:000309524900005		
J	Metin, Onder; Kayhan, Emine; Ozkar, Saim; Schneider, Jorg J.								Palladium nanoparticles supported on chemically derived graphene: An efficient and reusable catalyst for the dehydrogenation of ammonia borane								INTERNATIONAL JOURNAL OF HYDROGEN ENERGY				37	10			8161	8169		10.1016/j.ijhydene.2012.02.128			MAY 2012	2012										96							WOS:000305040400005		
J	Zhang, Xiaoyan; Hou, Lili; Cnossen, Arjen; Coleman, Anthony C.; Ivashenko, Oleksii; Rudolf, Petra; van Wees, Bart J.; Browne, Wesley R.; Feringa, Ben L.								One-Pot Functionalization of Graphene with Porphyrin through Cycloaddition Reactions								CHEMISTRY-A EUROPEAN JOURNAL				17	32			8957	8964		10.1002/chem.201100980			AUG 2011	2011										96							WOS:000294704700026		
J	Attaccalite, C.; Bockstedte, M.; Marini, A.; Rubio, A.; Wirtz, L.								Coupling of excitons and defect states in boron-nitride nanostructures								PHYSICAL REVIEW B				83	14					144115	10.1103/PhysRevB.83.144115			APR 29 2011	2011										96							WOS:000291974400002		
J	Liu, Lei; Zhang, Yingli; Wang, Wenlong; Gu, Changzhi; Bai, Xuedong; Wang, Enge								Nanosphere Lithography for the Fabrication of Ultranarrow Graphene Nanoribbons and On- Chip Bandgap Tuning of Graphene								ADVANCED MATERIALS				23	10			1246	+		10.1002/adma.201003847			MAR 2011	2011										96							WOS:000288170700008		
J	Farquhar, James; Zerkle, Aubrey L.; Bekker, Andrey								Geological constraints on the origin of oxygenic photosynthesis								PHOTOSYNTHESIS RESEARCH				107	1			11	36		10.1007/s11120-010-9594-0			JAN 2011	2011										96							WOS:000286199300003		
J	Moser, J.; Tao, H.; Roche, S.; Alzina, F.; Sotomayor Torres, C. M.; Bachtold, A.								Magnetotransport in disordered graphene exposed to ozone: From weak to strong localization								PHYSICAL REVIEW B				81	20					205445	10.1103/PhysRevB.81.205445			MAY 15 2010	2010										96							WOS:000278144500121		
J	Hosono, Eiji; Fujihara, Shinobu; Lmai, Hiroaki; Honma, Itaru; Masaki, Ichihara; Zhou, Haoshen								One-step synthesis of nano-micro chestnut TiO2 with rutile nanopins on the microanatase octahedron								ACS NANO				1	4			273	278		10.1021/nn700136n			NOV 2007	2007										96							WOS:000252267200010		
J	Mazzoni, MSC; Nunes, RW; Azevedo, S; Chacham, H								Electronic structure and energetics of BxCyNz layered structures								PHYSICAL REVIEW B				73	7					073108	10.1103/PhysRevB.73.073108			FEB 2006	2006										96							WOS:000235668900008		
J	Finnis, MW; Lozovoi, AY; Alavi, A								The oxidation of NiAl: What can we learn from ab initio calculations?								Annual Review of Materials Research				35				167	207		10.1146/annurev.matsci.35.101503.091652			2005	2005										96							WOS:000231321200010		
J	Brockherde, Felix; Vogt, Leslie; Li, Li; Tuckerman, Mark E.; Burke, Kieron; Mueller, Klaus-Robert								Bypassing the Kohn-Sham equations with machine learning								NATURE COMMUNICATIONS				8						872	10.1038/s41467-017-00839-3			OCT 11 2017	2017										95							WOS:000412776200009		
J	Akbar, F.; Kolahdouz, M.; Larimian, Sh.; Radfar, B.; Radamson, H. H.								Graphene synthesis, characterization and its applications in nanophotonics, nanoelectronics, and nanosensing								JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS				26	7			4347	4379		10.1007/s10854-015-2725-9			JUL 2015	2015										95							WOS:000358060700002		
J	Gu, Xiaokun; Yang, Ronggui								First-principles prediction of phononic thermal conductivity of silicene: A comparison with graphene								JOURNAL OF APPLIED PHYSICS				117	2					025102	10.1063/1.4905540			JAN 14 2015	2015										95							WOS:000348129300060		
J	Kim, Raseong; Perebeinos, Vasili; Avouris, Phaedon								Relaxation of optically excited carriers in graphene								PHYSICAL REVIEW B				84	7					075449	10.1103/PhysRevB.84.075449			AUG 10 2011	2011										95							WOS:000293729300014		
J	Houssa, M.; Scalise, E.; Sankaran, K.; Pourtois, G.; Afanas'ev, V. V.; Stesmans, A.								Electronic properties of hydrogenated silicene and germanene								APPLIED PHYSICS LETTERS				98	22					223107	10.1063/1.3595682			MAY 30 2011	2011										95							WOS:000291405700057		
J	He, Ziming; Guai, Guanhong; Liu, Jing; Guo, Chunxian; Loo, Joachim Say Chye; Li, Chang Ming; Tan, Timothy Thatt Yang								Nanostructure control of graphene-composited TiO2 by a one-step solvothermal approach for high performance dye-sensitized solar cells								NANOSCALE				3	11			4613	4616		10.1039/c1nr11300c			2011	2011										95							WOS:000296659000020		
J	Li, Baojun; Cao, Huaqiang; Yin, Gui								Mg(OH)(2)@reduced graphene oxide composite for removal of dyes from water								JOURNAL OF MATERIALS CHEMISTRY				21	36			13765	13768		10.1039/c1jm13368c			2011	2011										95							WOS:000294441300005		
J	Javaid, S.; Bowen, M.; Boukari, S.; Joly, L.; Beaufrand, J. -B.; Chen, Xi; Dappe, Y. J.; Scheurer, F.; Kappler, J. -P.; Arabski, J.; Wulfhekel, W.; Alouani, M.; Beaurepaire, E.								Impact on Interface Spin Polarization of Molecular Bonding to Metallic Surfaces								PHYSICAL REVIEW LETTERS				105	7					077201	10.1103/PhysRevLett.105.077201			AUG 13 2010	2010										95							WOS:000280865100015		
J	Soriano, D.; Munoz-Rojas, F.; Fernandez-Rossier, J.; Palacios, J. J.								Hydrogenated graphene nanoribbons for spintronics								PHYSICAL REVIEW B				81	16					165409	10.1103/PhysRevB.81.165409			APR 15 2010	2010										95							WOS:000277217200086		
J	Tang, Tsung-Ta; Zhang, Yuanbo; Park, Cheol-Hwan; Geng, Baisong; Girit, Caglar; Hao, Zhao; Martin, Michael C.; Zettl, Alex; Crommie, Michael F.; Louie, Steven G.; Shen, Y. Ron; Wang, Feng								A tunable phonon-exciton Fano system in bilayer graphene								NATURE NANOTECHNOLOGY				5	1			32	36		10.1038/NNANO.2009.334			JAN 2010	2010										95							WOS:000274652200012		
J	Sidorov, Anton N.; Yazdanpanah, Mehdi M.; Jalilian, Romaneh; Ouseph, P. J.; Cohn, R. W.; Sumanasekera, G. U.								Electrostatic deposition of graphene								NANOTECHNOLOGY				18	13					135301	10.1088/0957-4484/18/13/135301			APR 4 2007	2007										95							WOS:000245241500004		
J	Ando, Tsuneya								Magnetic oscillation of optical phonon in graphene								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				76	2					024712	10.1143/JPSJ.76.024712			FEB 2007	2007										95							WOS:000244466000047		
J	Liu, Juntao; Ge, Xiao; Ye, Xinxin; Wang, Guozhong; Zhang, Haimin; Zhou, Hongjian; Zhang, Yunxia; Zhao, Huijun								3D graphene/delta-MnO2 aerogels for highly efficient and reversible removal of heavy metal ions								JOURNAL OF MATERIALS CHEMISTRY A				4	5			1970	1979		10.1039/c5ta08106h			2016	2016										94							WOS:000368839200050		
J	Raty, Jean Yves; Zhang, Wei; Luckas, Jennifer; Chen, Chao; Mazzarello, Riccardo; Bichara, Christophe; Wuttig, Matthias								Aging mechanisms in amorphous phase-change materials								NATURE COMMUNICATIONS				6						7467	10.1038/ncomms8467			JUN 2015	2015										94							WOS:000357177600005		
J	Li, Na; Yang, Gongzheng; Sun, Yong; Song, Huawei; Cui, Hao; Yang, Guowei; Wang, Chengxin								Free-Standing and Transparent Graphene Membrane of Polyhedron Box-Shaped Basic Building Units Directly Grown Using a NaCl Template for Flexible Transparent and Stretchable Solid-State Supercapacitors								NANO LETTERS				15	5			3195	3203		10.1021/acs.nanolett.5b00364			MAY 2015	2015										94							WOS:000354906000063		
J	Lin, Kun-Yi Andrew; Hsu, Fu-Kong; Lee, Wei-Der								Magnetic cobalt-graphene nanocomposite derived from self-assembly of MOFs with graphene oxide as an activator for peroxymonosulfate								JOURNAL OF MATERIALS CHEMISTRY A				3	18			9480	9490		10.1039/c4ta06516f			2015	2015										94							WOS:000353927500019		
J	Chan, Karen; Tsai, Charlie; Hansen, Heine A.; Norskov, Jens K.								Molybdenum Sulfides and Selenides as Possible Electrocatalysts for CO2 Reduction								CHEMCATCHEM				6	7			1899	1905		10.1002/cctc.201402128			JUL 2014	2014										94							WOS:000340573200013		
J	Chen, Jingqin; Liu, Hongyu; Zhao, Chubiao; Qin, Guiqi; Xi, Gaina; Li, Tan; Wang, Xiaoping; Chen, Tongsheng								One-step reduction and PEGylation of graphene oxide for photothermally controlled drug delivery								BIOMATERIALS				35	18			4986	4995		10.1016/j.biomaterials.2014.02.032			JUN 2014	2014										94							WOS:000335095900012		
J	Centeno, A.; Rocha, V. G.; Alonso, B.; Fernandez, A.; Gutierrez-Gonzalez, C. F.; Torrecillas, R.; Zurutuza, A.								Graphene for tough and electroconductive alumina ceramics								JOURNAL OF THE EUROPEAN CERAMIC SOCIETY				33	15-16			3201	3210		10.1016/j.jeurceramsoc.2013.07.007			DEC 2013	2013										94							WOS:000324901800038		
J	Morales, Miguel A.; McMahon, Jeffrey M.; Pierleoni, Carlo; Ceperley, David M.								Nuclear Quantum Effects and Nonlocal Exchange-Correlation Functionals Applied to Liquid Hydrogen at High Pressure								PHYSICAL REVIEW LETTERS				110	6					065702	10.1103/PhysRevLett.110.065702			FEB 5 2013	2013										94							WOS:000314687300025		
J	Hellstrom, Sondra L.; Vosgueritchian, Michael; Stoltenberg, Randall M.; Irfan, Irfan; Hammock, Mallory; Wang, Yinchao Bril; Jia, Chuancheng; Guo, Xuefeng; Gao, Yongli; Bao, Zhenan								Strong and Stable Doping of Carbon Nanotubes and Graphene by MoOx for Transparent Electrodes								NANO LETTERS				12	7			3574	3580		10.1021/nl301207e			JUL 2012	2012										94							WOS:000306296200037		
J	Yu, Woo Jong; Liao, Lei; Chae, Sang Hoon; Lee, Young Hee; Duan, Xiangfeng								Toward Tunable Band Gap and Tunable Dirac Point in Bilayer Graphene with Molecular Doping								NANO LETTERS				11	11			4759	4763		10.1021/nl2025739			NOV 2011	2011										94							WOS:000296674700046		
J	Pozun, Zachary D.; Henkelman, Graeme								Hybrid density functional theory band structure engineering in hematite								JOURNAL OF CHEMICAL PHYSICS				134	22					224706	10.1063/1.3598947			JUN 14 2011	2011										94							WOS:000291660200032		
J	Cataldo, Franco; Compagnini, Giuseppe; Patane, Giacomo; Ursini, Ornella; Angelini, Giancarlo; Ribic, Primoz Rebernik; Margaritondo, Giorgio; Cricenti, Antonio; Palleschi, Giuseppe; Valentini, Federica								Graphene nanoribbons produced by the oxidative unzipping of single-wall carbon nanotubes								CARBON				48	9			2596	2602		10.1016/j.carbon.2010.03.063			AUG 2010	2010										94							WOS:000278585400027		
J	Sun, Zhipei; Hasan, Tawfique; Wang, Fengqiu; Rozhin, Aleksey G.; White, Ian H.; Ferrari, Andrea C.								Ultrafast stretched-pulse fiber laser mode-locked by carbon nanotubes								NANO RESEARCH				3	6			404	411		10.1007/s12274-010-1045-x			JUN 2010	2010										94							WOS:000278624100003		
J	McCreary, K. M.; Pi, K.; Swartz, A. G.; Han, Wei; Bao, W.; Lau, C. N.; Guinea, F.; Katsnelson, M. I.; Kawakami, R. K.								Effect of cluster formation on graphene mobility								PHYSICAL REVIEW B				81	11					115453	10.1103/PhysRevB.81.115453			MAR 2010	2010										94							WOS:000276248800166		
