J	Wang, Jin; Tafen, De Nyago; Lewis, James P.; Hong, Zhanglian; Manivannan, Ayyakkannu; Zhi, Mingjia; Li, Ming; Wu, Nianqiang								Origin of Photocatalytic Activity of Nitrogen-Doped TiO2 Nanobelts								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				131	34			12290	12297		10.1021/ja903781h			SEP 2 2009	2009										757							WOS:000269379600061		
J	Chueh, William C.; Falter, Christoph; Abbott, Mandy; Scipio, Danien; Furler, Philipp; Haile, Sossina M.; Steinfeld, Aldo								High-Flux Solar-Driven Thermochemical Dissociation of CO2 and H2O Using Nonstoichiometric Ceria								SCIENCE				330	6012			1797	1801		10.1126/science.1197834			DEC 23 2010	2010										753							WOS:000285603700033		
J	Yu, Jiaguo; Qi, Lifang; Jaroniec, Mietek								Hydrogen Production by Photocatalytic Water Splitting over Pt/TiO2 Nanosheets with Exposed (001) Facets								JOURNAL OF PHYSICAL CHEMISTRY C				114	30			13118	13125		10.1021/jp104488b			AUG 5 2010	2010										753							WOS:000280360500041		
J	Chatterjee, D; Dasgupta, S								Visible light induced photocatalytic degradation of organic pollutants								JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS				6	2-3			186	205		10.1016/j.jphotochemrev.2005.09.001			OCT 2005	2005										753							WOS:000233769100006		
J	Figueira-Duarte, Teresa M.; Muellen, Klaus								Pyrene-Based Materials for Organic Electronics								CHEMICAL REVIEWS				111	11			7260	7314		10.1021/cr100428a			NOV 2011	2011										752							WOS:000296685200013		
J	Pendergast, MaryTheresa M.; Hoek, Eric M. V.								A review of water treatment membrane nanotechnologies								ENERGY & ENVIRONMENTAL SCIENCE				4	6			1946	1971		10.1039/c0ee00541j			JUN 2011	2011										752							WOS:000291219100001		
J	Leary, Rowan; Westwood, Aidan								Carbonaceous nanomaterials for the enhancement of TiO2 photocatalysis								CARBON				49	3			741	772		10.1016/j.carbon.2010.10.010			MAR 2011	2011										751							WOS:000286683500001		
J	Tada, Hiroaki; Mitsui, Tomohiro; Kiyonaga, Tomokazu; Akita, Tomoki; Tanaka, Koji								All-solid-state Z-scheme in CdS-Au-TiO2 three-component nanojunction system								NATURE MATERIALS				5	10			782	786		10.1038/nmat1734			OCT 2006	2006										751							WOS:000241731900018		
J	Subramanian, V; Wolf, E; Kamat, PV								Semiconductor-metal composite nanostructures. To what extent do metal nanoparticles improve the photocatalytic activity of TiO2 films?								JOURNAL OF PHYSICAL CHEMISTRY B				105	46			11439	11446		10.1021/jp011118k			NOV 22 2001	2001										751							WOS:000172466100011		
J	Ohno, T; Sarukawa, K; Tokieda, K; Matsumura, M								Morphology of a TiO2 photocatalyst (Degussa, P-25) consisting of anatase and rutile crystalline phases								JOURNAL OF CATALYSIS				203	1			82	86		10.1006/jcat.2001.3316			OCT 1 2001	2001										751							WOS:000171504400010		
J	Wallentin, Jesper; Anttu, Nicklas; Asoli, Damir; Huffman, Maria; Aberg, Ingvar; Magnusson, Martin H.; Siefer, Gerald; Fuss-Kailuweit, Peter; Dimroth, Frank; Witzigmann, Bernd; Xu, H. Q.; Samuelson, Lars; Deppert, Knut; Borgstrom, Magnus T.								InP Nanowire Array Solar Cells Achieving 13.8% Efficiency by Exceeding the Ray Optics Limit								SCIENCE				339	6123			1057	1060		10.1126/science.1230969			MAR 1 2013	2013										748							WOS:000315452000036		
J	Balzani, Vincenzo; Credi, Alberto; Venturi, Margherita								Photochemical conversion of solar energy								CHEMSUSCHEM				1	1-2			26	58		10.1002/cssc.200700087			2008	2008										748							WOS:000256725100006		
J	Pan, Xiaoyang; Yang, Min-Quan; Fu, Xianzhi; Zhang, Nan; Xu, Yi-Jun								Defective TiO2 with oxygen vacancies: synthesis, properties and photocatalytic applications								NANOSCALE				5	9			3601	3614		10.1039/c3nr00476g			2013	2013										746							WOS:000317859400004		
J	Barth, Johannes V.								Molecular architectonic on metal surfaces								Annual Review of Physical Chemistry				58				375	407		10.1146/annurev.physchem.56.092503.141259			2007	2007										746							WOS:000246652300015		
J	Adachi, M; Murata, Y; Takao, J; Jiu, JT; Sakamoto, M; Wang, FM								Highly efficient dye-sensitized solar cells with a titania thin-film electrode composed of a network structure of single-crystal-like TiO2 nanowires made by the "oriented attachment" mechanism								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				126	45			14943	14949		10.1021/ja048068s			NOV 17 2004	2004										746							WOS:000225083700055		
J	Du, Pingwu; Eisenberg, Richard								Catalysts made of earth-abundant elements (Co, Ni, Fe) for water splitting: Recent progress and future challenges								ENERGY & ENVIRONMENTAL SCIENCE				5	3			6012	6021		10.1039/c2ee03250c			MAR 2012	2012										745							WOS:000300710600009		
J	Noda, A; Hayamizu, K; Watanabe, M								Pulsed-gradient spin-echo H-1 and F-19 NMR ionic diffusion coefficient, viscosity, and ionic conductivity of non-chloroaluminate room-temperature ionic liquids								JOURNAL OF PHYSICAL CHEMISTRY B				105	20			4603	4610		10.1021/jp004132q			MAY 24 2001	2001										745							WOS:000168914600012		
J	Keller, CA; Kasemo, B								Surface specific kinetics of lipid vesicle adsorption measured with a quartz crystal microbalance								BIOPHYSICAL JOURNAL				75	3			1397	1402		10.1016/S0006-3495(98)74057-3			SEP 1998	1998										745							WOS:000075625100026		
J	Robertson, N								Optimizing dyes for dye-sensitized solar cells								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				45	15			2338	2345		10.1002/anie.200503083			2006	2006										743							WOS:000236768600003		
J	Gao, Peng; Graetzel, Michael; Nazeeruddin, Mohammad K.								Organohalide lead perovskites for photovoltaic applications								ENERGY & ENVIRONMENTAL SCIENCE				7	8			2448	2463		10.1039/c4ee00942h			AUG 2014	2014										741							WOS:000339861800003		
J	Kang, Jun; Tongay, Sefaattin; Zhou, Jian; Li, Jingbo; Wu, Junqiao								Band offsets and heterostructures of two-dimensional semiconductors								APPLIED PHYSICS LETTERS				102	1					012111	10.1063/1.4774090			JAN 7 2013	2013										741							WOS:000313646500069		
J	Kato, T								Self-assembly of phase-segregated liquid crystal structures								SCIENCE				295	5564			2414	2418		10.1126/science.1070967			MAR 29 2002	2002										738							WOS:000174712600044		
J	Anthony, JL; Maginn, EJ; Brennecke, JF								Solubilities and thermodynamic properties of gases in the ionic liquid 1-n-butyl-3-methylimidazolium hexafluorophosphate								JOURNAL OF PHYSICAL CHEMISTRY B				106	29			7315	7320		10.1021/jp020631a			JUL 25 2002	2002										737							WOS:000176955900029		
J	Ferrere, S; Zaban, A; Gregg, BA								Dye sensitization of nanocrystalline tin oxide by perylene derivatives								JOURNAL OF PHYSICAL CHEMISTRY B				101	23			4490	4493		10.1021/jp970683d			JUN 5 1997	1997										736							WOS:A1997XD26200003		
J	Wu, Hao Bin; Chen, Jun Song; Hng, Huey Hoon; Lou, Xiong Wen (David)								Nanostructured metal oxide-based materials as advanced anodes for lithium-ion batteries								NANOSCALE				4	8			2526	2542		10.1039/c2nr11966h			2012	2012										731							WOS:000302063600001		
J	Feldt, Sandra M.; Gibson, Elizabeth A.; Gabrielsson, Erik; Sun, Licheng; Boschloo, Gerrit; Hagfeldt, Anders								Design of Organic Dyes and Cobalt Polypyridine Redox Mediators for High-Efficiency Dye-Sensitized Solar Cells								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				132	46			16714	16724		10.1021/ja1088869			NOV 24 2010	2010										728							WOS:000284792000064		
J	Koumura, Nagatoshi; Wang, Zhong-Sheng; Mori, Shogo; Miyashita, Masanori; Suzuki, Eiji; Hara, Kohjiro								Alkyl-functionalized organic dyes for efficient molecular photovoltaics								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				128	44			14256	14257		10.1021/ja0645640			NOV 8 2006	2006										728							WOS:000241729100024		
J	Yang, Nailiang; Zhai, Jin; Wang, Dan; Chen, Yongsheng; Jiang, Lei								Two-Dimensional Graphene Bridges Enhanced Photoinduced Charge Transport in Dye-Sensitized Solar Cells								ACS NANO				4	2			887	894		10.1021/nn901660v			FEB 2010	2010										724							WOS:000274635800039		
J	Serpone, Nick								Is the band gap of pristine TiO2 narrowed by anion- and cation-doping of titanium dioxide in second-generation photocatalysts?								JOURNAL OF PHYSICAL CHEMISTRY B				110	48			24287	24293		10.1021/jp065659r			DEC 7 2006	2006										724							WOS:000242428200003		
J	Varghese, Oomman K.; Paulose, Maggie; LaTempa, Thomas J.; Grimes, Craig A.								High-Rate Solar Photocatalytic Conversion of CO2 and Water Vapor to Hydrocarbon Fuels								NANO LETTERS				9	2			731	737		10.1021/nl803258p			FEB 2009	2009										723							WOS:000263298700039		
J	Ganduglia-Pirovano, M. Veronica; Hofmann, Alexander; Sauer, Joachim								Oxygen vacancies in transition metal and rare earth oxides: Current state of understanding and remaining challenges								SURFACE SCIENCE REPORTS				62	6			219	270		10.1016/j.surfrep.2007.03.002			JUN 30 2007	2007										723							WOS:000247734100001		
J	Luther, Joseph M.; Law, Matt; Beard, Matthew C.; Song, Qing; Reese, Matthew O.; Ellingson, Randy J.; Nozik, Arthur J.								Schottky Solar Cells Based on Colloidal Nanocrystal Films								NANO LETTERS				8	10			3488	3492		10.1021/nl802476m			OCT 2008	2008										722							WOS:000259906800075		
J	Macak, JM; Tsuchiya, H; Taveira, L; Aldabergerova, S; Schmuki, P								Smooth anodic TiO2 nanotubes								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				44	45			7463	7465		10.1002/anie.200502781			2005	2005										722							WOS:000233515700029		
J	Wang, Yang; Sun, Huijuan; Tan, Shijing; Feng, Hao; Cheng, Zhengwang; Zhao, Jin; Zhao, Aidi; Wang, Bing; Luo, Yi; Yang, Jinlong; Hou, J. G.								Role of point defects on the reactivity of reconstructed anatase titanium dioxide (001) surface								NATURE COMMUNICATIONS				4						2214	10.1038/ncomms3214			JUL 2013	2013										721							WOS:000323717300002		
J	Abdi, Fatwa F.; Han, Lihao; Smets, Arno H. M.; Zeman, Miro; Dam, Bernard; van de Krol, Roel								Efficient solar water splitting by enhanced charge separation in a bismuth vanadate-silicon tandem photoelectrode								NATURE COMMUNICATIONS				4						2195	10.1038/ncomms3195			JUL 2013	2013										720							WOS:000323716900002		
J	ANPO, M; SHIMA, T; KODAMA, S; KUBOKAWA, Y								PHOTOCATALYTIC HYDROGENATION OF CH3CCH WITH H2O ON SMALL-PARTICLE TIO2 - SIZE QUANTIZATION EFFECTS AND REACTION INTERMEDIATES								JOURNAL OF PHYSICAL CHEMISTRY				91	16			4305	4310		10.1021/j100300a021			JUL 30 1987	1987										720							WOS:A1987J511900021		
J	Youngblood, W. Justin; Lee, Seung-Hyun Anna; Maeda, Kazuhiko; Mallouk, Thomas E.								Visible Light Water Splitting Using Dye-Sensitized Oxide Semiconductors								ACCOUNTS OF CHEMICAL RESEARCH				42	12			1966	1973		10.1021/ar9002398			DEC 2009	2009										719							WOS:000273082800012		
J	Reetz, MT; Westermann, E								Phosphane-free palladium-catalyzed coupling reactions: The decisive role of Pd nanoparticles								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				39	1			165	+		10.1002/(SICI)1521-3773(20000103)39:1<165::AID-ANIE165>3.0.CO;2-B			2000	2000										715							WOS:000084700400016		
J	Lu, Jianmei; Yan, Feng; Texter, John								Advanced applications of ionic liquids in polymer science								PROGRESS IN POLYMER SCIENCE				34	5			431	448		10.1016/j.progpolymsci.2008.12.001			MAY 2009	2009										714							WOS:000265569700002		
J	Bisquert, J; Zaban, A; Greenshtein, M; Mora-Sero, I								Determination of rate constants for charge transfer and the distribution of semiconductor and electrolyte electronic energy levels in dye-sensitized solar cells by open-circuit photovoltage decay method								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				126	41			13550	13559		10.1021/ja047311k			OCT 20 2004	2004										714							WOS:000224500000074		
J	Ngo, HL; LeCompte, K; Hargens, L; McEwen, AB								Thermal properties of imidazolium ionic liquids								THERMOCHIMICA ACTA				357				97	102		10.1016/S0040-6031(00)00373-7			AUG 14 2000	2000						26th North-American-Thermal-Analysis-Society Conference	SEP 13-15, 1998		CLEVELAND, OHIO	714							WOS:000088200300014		
J	Santra, Pralay K.; Kamat, Prashant V.								Mn-Doped Quantum Dot Sensitized Solar Cells: A Strategy to Boost Efficiency over 5%								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				134	5			2508	2511		10.1021/ja211224s			FEB 8 2012	2012										711							WOS:000300460600016		
J	Chirila, Adrian; Reinhard, Patrick; Pianezzi, Fabian; Bloesch, Patrick; Uhl, Alexander R.; Fella, Carolin; Kranz, Lukas; Keller, Debora; Gretener, Christina; Hagendorfer, Harald; Jaeger, Dominik; Erni, Rolf; Nishiwaki, Shiro; Buecheler, Stephan; Tiwari, Ayodhya N.								Potassium-induced surface modification of Cu(In,Ga)Se-2 thin films for high-efficiency solar cells								NATURE MATERIALS				12	12			1107	1111		10.1038/NMAT3789			DEC 2013	2013										708							WOS:000327458400018		
J	Chen, Zhebo; Cummins, Dustin; Reinecke, Benjamin N.; Clark, Ezra; Sunkara, Mahendra K.; Jaramillo, Thomas F.								Core-shell MoO3-MoS2 Nanowires for Hydrogen Evolution: A Functional Design for Electrocatalytic Materials								NANO LETTERS				11	10			4168	4175		10.1021/nl2020476			OCT 2011	2011										706							WOS:000295667000024		
J	Alstrum-Acevedo, JH; Brennaman, MK; Meyer, TJ								Chemical approaches to artificial photosynthesis. 2								INORGANIC CHEMISTRY				44	20			6802	6827		10.1021/ic050904r			OCT 3 2005	2005										706							WOS:000232281900002		
J	Sunarso, J.; Baumann, S.; Serra, J. M.; Meulenberg, W. A.; Liu, S.; Lin, Y. S.; da Costa, J. C. Diniz								Mixed ionic-electronic conducting (MIEC) ceramic-based membranes for oxygen separation								JOURNAL OF MEMBRANE SCIENCE				320	1-2			13	41		10.1016/j.memsci.2008.03.074			JUL 15 2008	2008										705							WOS:000257834700003		
J	Wang, Yajun; Shi, Rui; Lin, Jie; Zhu, Yongfa								Enhancement of photocurrent and photocatalytic activity of ZnO hybridized with graphite-like C3N4								ENERGY & ENVIRONMENTAL SCIENCE				4	8			2922	2929		10.1039/c0ee00825g			AUG 2011	2011										703							WOS:000293213600039		
J	Li, Xin; Yu, Jiaguo; Low, Jingxiang; Fang, Yueping; Xiao, Jing; Chen, Xiaobo								Engineering heterogeneous semiconductors for solar water splitting								JOURNAL OF MATERIALS CHEMISTRY A				3	6			2485	2534		10.1039/c4ta04461d			2015	2015										702							WOS:000348990500003		
J	Jain, N; Kumar, A; Chauhan, S; Chauhan, SMS								Chemical and biochemical transformations in ionic liquids								TETRAHEDRON				61	5			1015	1060		10.1016/j.tet.2004.10.070			JAN 31 2005	2005										701							WOS:000226565400001		
J	Gole, JL; Stout, JD; Burda, C; Lou, YB; Chen, XB								Highly efficient formation of visible light tunable TiO2-xNx photocatalysts and their transformation at the nanoscale								JOURNAL OF PHYSICAL CHEMISTRY B				108	4			1230	1240		10.1021/jp030843n			JAN 29 2004	2004										701							WOS:000188535700012		
J	Xu, W; Cooper, EI; Angell, CA								Ionic liquids: Ion mobilities, glass temperatures, and fragilities								JOURNAL OF PHYSICAL CHEMISTRY B				107	25			6170	6178		10.1021/jp0275894			JUN 26 2003	2003										701							WOS:000183649500023		
J	Zhang, Suojiang; Sun, Ning; He, Xuezhong; Lu, Xingmei; Zhang, Xiangping								Physical properties of ionic liquids: Database and evaluation								JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA				35	4			1475	1517		10.1063/1.2204959			DEC 2006	2006										696							WOS:000242826800002		
J	FENDLER, JH; MELDRUM, FC								THE COLLOID-CHEMICAL APPROACH TO NANOSTRUCTURED MATERIALS								ADVANCED MATERIALS				7	7			607	632		10.1002/adma.19950070703			JUL 1995	1995										695							WOS:A1995RJ49800002		
J	Veldman, Dirk; Meskers, Stefan C. J.; Janssen, Rene A. J.								The Energy of Charge-Transfer States in Electron Donor-Acceptor Blends: Insight into the Energy Losses in Organic Solar Cells								ADVANCED FUNCTIONAL MATERIALS				19	12			1939	1948		10.1002/adfm.200900090			JUN 23 2009	2009										694							WOS:000267509900013		
J	Hagiwara, R; Ito, Y								Room temperature ionic liquids of alkylimidazolium cations and fluoroanions								JOURNAL OF FLUORINE CHEMISTRY				105	2			221	227		10.1016/S0022-1139(99)00267-5			SEP 2000	2000										694							WOS:000089579700015		
J	Wang, CC; Ying, JY								Sol-gel synthesis and hydrothermal processing of anatase and rutile titania nanocrystals								CHEMISTRY OF MATERIALS				11	11			3113	3120		10.1021/cm990180f			NOV 1999	1999										694							WOS:000083776000019		
J	El-Sayed, MA								Small is different: Shape-, size-, and composition-dependent properties of some colloidal semiconductor nanocrystals								ACCOUNTS OF CHEMICAL RESEARCH				37	5			326	333		10.1021/ar020204f			MAY 2004	2004										692							WOS:000221518800006		
J	Graetzel, Michael; Janssen, Rene A. J.; Mitzi, David B.; Sargent, Edward H.								Materials interface engineering for solution-processed photovoltaics								NATURE				488	7411			304	312		10.1038/nature11476			AUG 16 2012	2012										691							WOS:000307501000029		
J	Fu, Yanghe; Sun, Dengrong; Chen, Yongjuan; Huang, Renkun; Ding, Zhengxin; Fu, Xianzhi; Li, Zhaohui								An Amine-Functionalized Titanium Metal-Organic Framework Photocatalyst with Visible-Light-Induced Activity for CO2 Reduction								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				51	14			3364	3367		10.1002/anie.201108357			2012	2012										691							WOS:000302059400012		
J	Aruoja, Villem; Dubourguier, Henri-Charles; Kasemets, Kaja; Kahru, Anne								Toxicity of nanoparticles of CuO, ZnO and TiO2 to microalgae Pseudokirchneriella subcapitata								SCIENCE OF THE TOTAL ENVIRONMENT				407	4			1461	1468		10.1016/j.scitotenv.2008.10.053			FEB 1 2009	2009										690							WOS:000262573200023		
J	Scott, RWJ; Wilson, OM; Crooks, RM								Synthesis, characterization, and applications of dendrimer-encapsulated nanoparticles								JOURNAL OF PHYSICAL CHEMISTRY B				109	2			692	704		10.1021/jp0469665			JAN 20 2005	2005										690							WOS:000226313200007		
J	Shankar, Karthik; Basham, James I.; Allam, Nageh K.; Varghese, Oomman K.; Mor, Gopal K.; Feng, Xinjian; Paulose, Maggie; Seabold, Jason A.; Choi, Kyoung-Shin; Grimes, Craig A.								Recent Advances in the Use of TiO2 Nanotube and Nanowire Arrays for Oxidative Photoelectrochemistry								JOURNAL OF PHYSICAL CHEMISTRY C				113	16			6327	6359		10.1021/jp809385x			APR 23 2009	2009										689							WOS:000265383300004		
J	Bao, Ningzhong; Shen, Liming; Takata, Tsuyoshi; Domen, Kazunari								Self-templated synthesis of nanoporous CdS nanostructures for highly efficient photocatalytic hydrogen production under visible								CHEMISTRY OF MATERIALS				20	1			110	117		10.1021/cm7029344			JAN 8 2008	2008										688							WOS:000252047600022		
J	Gill, Ron; Zayats, Maya; Willner, Itamar								Semiconductor quantum dots for bioanalysis								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				47	40			7602	7625		10.1002/anie.200800169			2008	2008										688							WOS:000260054800006		
J	Hu, Shu; Shaner, Matthew R.; Beardslee, Joseph A.; Lichterman, Michael; Brunschwig, Bruce S.; Lewis, Nathan S.								Amorphous TiO2 coatings stabilize Si, GaAs, and GaP photoanodes for efficient water oxidation								SCIENCE				344	6187			1005	1009		10.1126/science.1251428			MAY 30 2014	2014										687							WOS:000336495800039		
J	Liang, Mao; Chen, Jun								Arylamine organic dyes for dye-sensitized solar cells								CHEMICAL SOCIETY REVIEWS				42	8			3453	3488		10.1039/c3cs35372a			2013	2013										686							WOS:000316869700017		
J	Flamigni, Lucia; Barbieri, Andrea; Sabatini, Cristiana; Ventura, Barbara; Barigelletti, Francesco								Photochemistry and photophysics of coordination compounds: Iridium								Topics in Current Chemistry-Series				281				143	203		10.1007/128_2007_131			2007	2007										685							WOS:000252372800005		
J	Hara, M; Kondo, T; Komoda, M; Ikeda, S; Shinohara, K; Tanaka, A; Kondo, JN; Domen, K								Cu2O as a photocatalyst for overall water splitting under visible light irradiation								CHEMICAL COMMUNICATIONS					3			357	358		10.1039/a707440i			FEB 7 1998	1998										685							WOS:000071986900033		
J	Ma, Hong; Yip, Hin-Lap; Huang, Fei; Jen, Alex K. -Y.								Interface Engineering for Organic Electronics								ADVANCED FUNCTIONAL MATERIALS				20	9			1371	1388		10.1002/adfm.200902236			MAY 10 2010	2010										684							WOS:000277806000003		
J	Cook-Chennault, K. A.; Thambi, N.; Sastry, A. M.								Powering MEMS portable devices - a review of non-regenerative and regenerative power supply systems with special emphasis on piezoelectric energy harvesting systems								SMART MATERIALS AND STRUCTURES				17	4					043001	10.1088/0964-1726/17/4/043001			AUG 2008	2008										684							WOS:000257676400001		
J	Dickerson, Matthew B.; Sandhage, Kenneth H.; Naik, Rajesh R.								Protein- and Peptide-Directed Syntheses of Inorganic Materials								CHEMICAL REVIEWS				108	11			4935	4978		10.1021/cr8002328			NOV 2008	2008										683							WOS:000261002100023		
J	Mecerreyes, David								Polymeric ionic liquids: Broadening the properties and applications of polyelectrolytes								PROGRESS IN POLYMER SCIENCE				36	12			1629	1648		10.1016/j.progpolymsci.2011.05.007			DEC 2011	2011										682							WOS:000297489400001		
J	Fernandez-Garcia, M; Martinez-Arias, A; Hanson, JC; Rodriguez, JA								Nanostructured oxides in chemistry: Characterization and properties								CHEMICAL REVIEWS				104	9			4063	4104		10.1021/cr030032f			SEP 2004	2004										681							WOS:000223812900010		
J	Quartarone, Eliana; Mustarelli, Piercarlo								Electrolytes for solid-state lithium rechargeable batteries: recent advances and perspectives								CHEMICAL SOCIETY REVIEWS				40	5			2525	2540		10.1039/c0cs00081g			2011	2011										680							WOS:000289630700031		
J	Armstrong, AR; Armstrong, G; Canales, J; Garcia, R; Bruce, PG								Lithium-ion intercalation into TiO2-B nanowires								ADVANCED MATERIALS				17	7			862	+		10.1002/adma.200400795			APR 4 2005	2005										680							WOS:000228418700017		
J	ISRAELACHVILI, JN; MITCHELL, DJ; NINHAM, BW								THEORY OF SELF-ASSEMBLY OF LIPID BILAYERS AND VESICLES								BIOCHIMICA ET BIOPHYSICA ACTA				470	2			185	201		10.1016/0005-2736(77)90099-2			1977	1977										680							WOS:A1977DY77100005		
J	Hou, Wenbo; Cronin, Stephen B.								A Review of Surface Plasmon Resonance-Enhanced Photocatalysis								ADVANCED FUNCTIONAL MATERIALS				23	13			1612	1619		10.1002/adfm.201202148			APR 5 2013	2013										679							WOS:000317019100002		
J	Wang, R; Hashimoto, K; Fujishima, A; Chikuni, M; Kojima, E; Kitamura, A; Shimohigoshi, M; Watanabe, T								Photogeneration of highly amphiphilic TiO2 surfaces								ADVANCED MATERIALS				10	2			135	+		10.1002/(SICI)1521-4095(199801)10:2<135::AID-ADMA135>3.3.CO;2-D			JAN 22 1998	1998										679							WOS:000071750000006		
J	Qu, Yongquan; Duan, Xiangfeng								Progress, challenge and perspective of heterogeneous photocatalysts								CHEMICAL SOCIETY REVIEWS				42	7			2568	2580		10.1039/c2cs35355e			2013	2013										677							WOS:000316869500007		
J	Livraghi, Stefano; Paganini, Maria Cristina; Giamello, Elio; Selloni, Annabella; Di Valentin, Cristiana; Pacchioni, Gianfranco								Origin of photoactivity of nitrogen-doped titanium dioxide under visible light								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				128	49			15666	15671		10.1021/ja064164c			DEC 13 2006	2006										677							WOS:000242575300038		
J	McEwen, AB; Ngo, HL; LeCompte, K; Goldman, JL								Electrochemical properties of imidazolium salt electrolytes for electrochemical capacitor applications								JOURNAL OF THE ELECTROCHEMICAL SOCIETY				146	5			1687	1695		10.1149/1.1391827			MAY 1999	1999										677							WOS:000080343300013		
J	BAHNEMANN, DW; KORMANN, C; HOFFMANN, MR								PREPARATION AND CHARACTERIZATION OF QUANTUM SIZE ZINC-OXIDE - A DETAILED SPECTROSCOPIC STUDY								JOURNAL OF PHYSICAL CHEMISTRY				91	14			3789	3798		10.1021/j100298a015			JUL 2 1987	1987										677							WOS:A1987J165700015		
J	Hu, Yong-Sheng; Kienle, Lorenz; Guo, Yu- Guo; Maier, Joachim								High lithium electroactivity of nanometer-sized rutile TiO2								ADVANCED MATERIALS				18	11			1421	+		10.1002/adma.200502723			JUN 6 2006	2006										676							WOS:000238203300015		
J	Park, Yiseul; McDonald, Kenneth J.; Choi, Kyoung-Shin								Progress in bismuth vanadate photoanodes for use in solar water oxidation								CHEMICAL SOCIETY REVIEWS				42	6			2321	2337		10.1039/c2cs35260e			2013	2013										669							WOS:000315356300009		
J	Anipsitakis, GP; Dionysiou, DD								Degradation of organic contaminants in water with sulfate radicals generated by the conjunction of peroxymonosulfate with cobalt								ENVIRONMENTAL SCIENCE & TECHNOLOGY				37	20			4790	4797		10.1021/es0263792			OCT 15 2003	2003										669							WOS:000186133000037		
J	Wang, Jacob Tse-Wei; Ball, James M.; Barea, Eva M.; Abate, Antonio; Alexander-Webber, Jack A.; Huang, Jian; Saliba, Michael; Mora-Sero, Ivan; Bisquert, Juan; Snaith, Henry J.; Nicholas, Robin J.								Low-Temperature Processed Electron Collection Layers of Graphene/TiO2 Nanocomposites in Thin Film Perovskite Solar Cells								NANO LETTERS				14	2			724	730		10.1021/nl403997a			FEB 2014	2014										668							WOS:000331343900050		
J	Liu, Zuwei; Hou, Wenbo; Pavaskar, Prathamesh; Aykol, Mehmet; Cronin, Stephen B.								Plasmon Resonant Enhancement of Photocatalytic Water Splitting Under Visible Illumination								NANO LETTERS				11	3			1111	1116		10.1021/nl104005n			MAR 2011	2011										666							WOS:000288061500034		
J	Gomes Silva, Claudia; Juarez, Raquel; Marino, Tiziana; Molinari, Raffaele; Garcia, Hermenegildo								Influence of Excitation Wavelength (UV or Visible Light) on the Photocatalytic Activity of Titania Containing Gold Nanoparticles for the Generation of Hydrogen or Oxygen from Water								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				133	3			595	602		10.1021/ja1086358			JAN 26 2011	2011										666							WOS:000287553000028		
J	Frank, AJ; Kopidakis, N; van de Lagemaat, J								Electrons in nanostructured TiO2 solar cells: transport, recombination and photovoltaic properties								COORDINATION CHEMISTRY REVIEWS				248	13-14			1165	1179		10.1016/j.ccr.2004.03.015			JUL 2004	2004										666							WOS:000224473900002		
J	CHESTNOY, N; HARRIS, TD; HULL, R; BRUS, LE								LUMINESCENCE AND PHOTOPHYSICS OF CDS SEMICONDUCTOR CLUSTERS - THE NATURE OF THE EMITTING ELECTRONIC STATE								JOURNAL OF PHYSICAL CHEMISTRY				90	15			3393	3399		10.1021/j100406a018			JUL 17 1986	1986										666							WOS:A1986D311900018		
J	Georgakilas, Vasilios; Tiwari, Jitendra N.; Kemp, K. Christian; Perman, Jason A.; Bourlinos, Athanasios B.; Kim, Kwang S.; Zboril, Radek								Noncovalent Functionalization of Graphene and Graphene Oxide for Energy Materials, Biosensing, Catalytic, and Biomedical Applications								CHEMICAL REVIEWS				116	9			5464	5519		10.1021/acs.chemrev.5b00620			MAY 11 2016	2016										665							WOS:000375888300015		
J	Pratsinis, SE								Flame aerosol synthesis of ceramic powders								PROGRESS IN ENERGY AND COMBUSTION SCIENCE				24	3			197	219		10.1016/S0360-1285(97)00028-2			1998	1998										664							WOS:000073894800002		
J	Helgesen, Martin; Sondergaard, Roar; Krebs, Frederik C.								Advanced materials and processes for polymer solar cell devices								JOURNAL OF MATERIALS CHEMISTRY				20	1			36	60		10.1039/b913168j			2010	2010										661							WOS:000272542100004		
J	Anthony, JL; Anderson, JL; Maginn, EJ; Brennecke, JF								Anion effects on gas solubility in ionic liquids								JOURNAL OF PHYSICAL CHEMISTRY B				109	13			6366	6374		10.1021/jp046404l			APR 7 2005	2005										661							WOS:000228111200049		
